Date;Close;
19/06/2020;9316;
18/06/2020;9400;
17/06/2020;9473;
16/06/2020;9534;
15/06/2020;9434;
14/06/2020;9345;
13/06/2020;9481;
12/06/2020;9468;
11/06/2020;9272;
10/06/2020;9899;
09/06/2020;9771;
08/06/2020;9783;
07/06/2020;9746;
06/06/2020;9668;
05/06/2020;9621;
04/06/2020;9791;
03/06/2020;9672;
02/06/2020;9530;
01/06/2020;10221;
31/05/2020;9452;
30/05/2020;9706;
29/05/2020;9426;
28/05/2020;9589;
27/05/2020;9210;
26/05/2020;8846;
25/05/2020;8902;
24/05/2020;8712;
23/05/2020;9175;
22/05/2020;9162;
21/05/2020;9060;
20/05/2020;9502;
19/05/2020;9770;
18/05/2020;9715;
17/05/2020;9668;
16/05/2020;9388;
15/05/2020;9313;
14/05/2020;9791;
13/05/2020;9312;
12/05/2020;8811;
11/05/2020;8555;
10/05/2020;8726;
09/05/2020;9538;
08/05/2020;9793;
07/05/2020;9980;
06/05/2020;9158;
05/05/2020;9020;
04/05/2020;8866;
03/05/2020;8900;
02/05/2020;8982;
01/05/2020;8823;
30/04/2020;8635;
29/04/2020;8773;
28/04/2020;7756;
27/04/2020;7778;
26/04/2020;7697;
25/04/2020;7539;
24/04/2020;7507;
23/04/2020;7495;
22/04/2020;7133;
21/04/2020;6850;
20/04/2020;6842;
19/04/2020;7133;
18/04/2020;7269;
17/04/2020;7046;
16/04/2020;7115;
15/04/2020;6634;
14/04/2020;6872;
13/04/2020;6849;
12/04/2020;6913;
11/04/2020;6885;
10/04/2020;6876;
09/04/2020;7294;
08/04/2020;7367;
07/04/2020;7203;
06/04/2020;7346;
05/04/2020;6778;
04/04/2020;6882;
03/04/2020;6741;
02/04/2020;6818;
01/04/2020;6675;
31/03/2020;6428;
30/03/2020;6408;
29/03/2020;5893;
28/03/2020;6249;
27/03/2020;6370;
26/03/2020;6751;
25/03/2020;6688;
24/03/2020;6762;
23/03/2020;6491;
22/03/2020;5827;
21/03/2020;6202;
20/03/2020;6206;
19/03/2020;6173;
18/03/2020;5416;
17/03/2020;5345;
16/03/2020;5059;
15/03/2020;5383;
14/03/2020;5218;
13/03/2020;5625;
12/03/2020;4927;
11/03/2020;7970;
10/03/2020;7914;
09/03/2020;7967;
08/03/2020;8074;
07/03/2020;8919;
06/03/2020;9181;
05/03/2020;9091;
04/03/2020;8789;
03/03/2020;8791;
02/03/2020;8938;
01/03/2020;8565;
29/02/2020;8557;
28/02/2020;8728;
27/02/2020;8826;
26/02/2020;8813;
25/02/2020;9328;
24/02/2020;9674;
23/02/2020;9985;
22/02/2020;9662;
21/02/2020;9694;
20/02/2020;9608;
19/02/2020;9592;
18/02/2020;10183;
17/02/2020;9708;
16/02/2020;9930;
15/02/2020;9901;
14/02/2020;10335;
13/02/2020;10222;
12/02/2020;10339;
11/02/2020;10247;
10/02/2020;9850;
09/02/2020;10151;
08/02/2020;9877;
07/02/2020;9805;
06/02/2020;9745;
05/02/2020;9612;
04/02/2020;9197;
03/02/2020;9309;
02/02/2020;9353;
01/02/2020;9411;
31/01/2020;9367;
30/01/2020;9513;
29/01/2020;9304;
28/01/2020;9394;
27/01/2020;8912;
26/01/2020;8622;
25/01/2020;8354;
24/01/2020;8447;
23/01/2020;8404;
22/01/2020;8664;
21/01/2020;8734;
20/01/2020;8638;
19/01/2020;8694;
18/01/2020;8892;
17/01/2020;8875;
16/01/2020;8721;
15/01/2020;8808;
14/01/2020;8776;
13/01/2020;8095;
12/01/2020;8175;
11/01/2020;8014;
10/01/2020;8176;
09/01/2020;7818;
08/01/2020;8037;
07/01/2020;8150;
06/01/2020;7758;
05/01/2020;7365;
04/01/2020;7370;
03/01/2020;7368;
02/01/2020;6989;
01/01/2020;7213;
31/12/2019;7208;
30/12/2019;7261;
29/12/2019;7418;
28/12/2019;7334;
27/12/2019;7287;
26/12/2019;7232;
25/12/2019;7220;
24/12/2019;7277;
23/12/2019;7347;
22/12/2019;7532;
