Date	Sentiment	Close	Variation
25/11/2020	94	18730	-2.12Ê
24/11/2020	88	19135	4.15Ê
23/11/2020	90	18373	-0.14Ê
22/11/2020	94	18399	-1.40Ê
21/11/2020	91	18660	-0.05Ê
20/11/2020	86	18669	4.82Ê
19/11/2020	94	17810	0.21Ê
18/11/2020	91	17773	0.56Ê
17/11/2020	86	17675	5.77Ê
16/11/2020	90	16710	4.68Ê
15/11/2020	86	15962	-0.60Ê
14/11/2020	90	16058	-1.54Ê
13/11/2020	89	16310	0.10Ê
12/11/2020	87	16294	3.72Ê
11/11/2020	86	15710	2.60Ê
10/11/2020	90	15312	-0.11Ê
09/11/2020	90	15329	-1.11Ê
08/11/2020	82	15501	4.43Ê
07/11/2020	88	14844	-4.67Ê
06/11/2020	90	15572	-0.01Ê
05/11/2020	72	15574	9.99Ê
04/11/2020	74	14160	0.96Ê
03/11/2020	71	14025	3.41Ê
02/11/2020	71	13563	-1.40Ê
01/11/2020	72	13756	-0.23Ê
31/10/2020	73	13788	1.62Ê
30/10/2020	74	13568	0.87Ê
29/10/2020	67	13451	1.35Ê
28/10/2020	70	13272	-2.60Ê
27/10/2020	61	13626	4.33Ê
26/10/2020	75	13061	0.18Ê
25/10/2020	76	13037	-0.72Ê
24/10/2020	73	13132	1.52Ê
23/10/2020	74	12935	-0.41Ê
22/10/2020	73	12988	1.27Ê
21/10/2020	61	12825	7.55Ê
20/10/2020	56	11925	1.43Ê
19/10/2020	55	11757	2.08Ê
18/10/2020	55	11518	1.26Ê
17/10/2020	56	11375	0.44Ê
16/10/2020	52	11325	-1.60Ê
15/10/2020	56	11509	0.60Ê
14/10/2020	53	11440	-0.02Ê
13/10/2020	56	11442	-1.02Ê
12/10/2020	52	11560	1.54Ê
11/10/2020	55	11385	0.68Ê
10/10/2020	53	11308	2.14Ê
09/10/2020	48	11071	1.17Ê
08/10/2020	46	10943	2.40Ê
07/10/2020	43	10687	0.69Ê
06/10/2020	47	10614	-1.79Ê
05/10/2020	42	10807	1.12Ê
04/10/2020	42	10687	1.22Ê
03/10/2020	40	10559	-0.26Ê
02/10/2020	41	10586	-0.45Ê
01/10/2020	45	10634	-1.48Ê
30/09/2020	49	10794	-0.57Ê
29/09/2020	45	10856	1.34Ê
28/09/2020	43	10712	-0.84Ê
27/09/2020	47	10803	0.49Ê
26/09/2020	45	10750	0.39Ê
25/09/2020	46	10708	-0.43Ê
24/09/2020	39	10754	4.78Ê
23/09/2020	43	10263	-2.71Ê
22/09/2020	39	10549	1.10Ê
21/09/2020	48	10434	-4.58Ê
20/09/2020	52	10935	-1.48Ê
19/09/2020	48	11099	1.29Ê
18/09/2020	49	10957	-0.02Ê
17/09/2020	48	10959	-0.11Ê
16/09/2020	43	10971	1.61Ê
15/09/2020	47	10797	1.04Ê
14/09/2020	39	10686	3.44Ê
13/09/2020	38	10331	-1.21Ê
12/09/2020	41	10458	0.51Ê
11/09/2020	41	10405	0.48Ê
10/09/2020	38	10355	1.12Ê
09/09/2020	38	10240	0.89Ê
08/09/2020	41	10150	-2.38Ê
07/09/2020	41	10397	1.18Ê
06/09/2020	41	10276	0.77Ê
05/09/2020	41	10197	-2.74Ê
04/09/2020	40	10485	3.09Ê
03/09/2020	79	10170	-10.85Ê
02/09/2020	83	11408	-4.47Ê
01/09/2020	75	11942	2.32Ê
31/08/2020	75	11671	-0.50Ê
30/08/2020	75	11730	2.07Ê
29/08/2020	79	11492	-0.46Ê
28/08/2020	74	11545	1.78Ê
27/08/2020	75	11343	-1.12Ê
26/08/2020	76	11471	1.15Ê
25/08/2020	75	11341	-3.63Ê
24/08/2020	78	11768	0.90Ê
23/08/2020	76	11663	-0.19Ê
22/08/2020	78	11685	1.34Ê
21/08/2020	81	11531	-2.97Ê
20/08/2020	75	11884	0.90Ê
19/08/2020	80	11778	-1.54Ê
18/08/2020	82	11962	-2.75Ê
17/08/2020	83	12300	3.14Ê
16/08/2020	82	11925	0.43Ê
15/08/2020	79	11873	0.96Ê
14/08/2020	78	11761	-0.27Ê
13/08/2020	75	11793	1.74Ê
12/08/2020	75	11591	1.86Ê
11/08/2020	84	11380	-4.31Ê
10/08/2020	78	11892	1.85Ê
09/08/2020	79	11676	-0.75Ê
08/08/2020	77	11764	1.59Ê
07/08/2020	77	11580	-1.52Ê
06/08/2020	79	11759	0.20Ê
05/08/2020	75	11736	4.93Ê
04/08/2020	72	11184	-0.38Ê
03/08/2020	75	11227	1.56Ê
02/08/2020	80	11054	-6.36Ê
01/08/2020	75	11805	4.01Ê
31/07/2020	75	11350	2.04Ê
30/07/2020	76	11123	0.05Ê
29/07/2020	71	11117	1.69Ê
28/07/2020	76	10932	-1.01Ê
27/07/2020	58	11044	11.02Ê
26/07/2020	55	9948	2.40Ê
25/07/2020	55	9715	1.63Ê
24/07/2020	53	9559	-0.58Ê
23/07/2020	55	9615	0.60Ê
22/07/2020	50	9558	1.66Ê
21/07/2020	44	9402	2.43Ê
20/07/2020	44	9179	-0.56Ê
19/07/2020	41	9231	0.46Ê
18/07/2020	44	9189	0.24Ê
17/07/2020	41	9167	0.19Ê
16/07/2020	43	9150	-0.65Ê
15/07/2020	44	9210	-0.58Ê
14/07/2020	43	9263	0.12Ê
